id,date,umpire,home,away,home_team_runs,away_team_runs,pitches_called,incorrect_calls,correct_calls,accuracy,consistency,favor_home,total_run_impact
583,2022-08-27,1,26,2,6,5,146,7,139,95.2,92.5,-1.04,1.04
584,2022-08-27,50,20,19,3,2,129,6,123,95.3,93,-0.63,0.93
585,2022-08-27,54,24,7,3,4,133,13,120,90.2,91.7,0.17,1.81
586,2022-08-26,9,15,14,6,10,209,14,195,93.3,93.8,-0.4,2.22
587,2022-08-26,55,30,6,3,7,152,11,141,92.8,92.8,0.08,1.26
588,2022-08-26,16,21,22,7,4,125,11,114,91.2,93.6,0.45,1.07
589,2022-08-26,66,29,13,0,12,181,18,163,90.1,89,0.15,2.59
590,2022-08-26,38,18,8,7,6,135,13,122,90.4,91.1,0.19,1.69
591,2022-08-26,78,4,27,9,8,158,6,152,96.2,96.2,0.03,0.79
592,2022-08-26,92,28,10,7,6,153,8,145,94.8,93.5,0.63,0.99
593,2022-08-26,52,11,3,0,2,128,6,122,95.3,94.5,0.01,0.47
594,2022-08-26,70,12,23,5,13,182,12,170,93.4,89.6,1.18,1.4
595,2022-08-26,35,17,25,9,0,141,9,132,93.6,92.9,-0.27,0.85
596,2022-08-26,60,9,1,2,7,150,14,136,90.7,89.3,0.27,1.43
597,2022-08-26,18,16,5,3,4,183,15,168,91.8,92.3,-0.31,1.55
598,2022-08-26,29,26,2,4,11,181,8,173,95.6,96.1,0.62,0.9
599,2022-08-26,81,20,19,2,3,142,7,135,95.1,93,-0.22,0.82
600,2022-08-26,30,24,7,3,2,148,7,141,95.3,91.9,-0.34,0.82
601,2022-08-25,32,27,13,8,3,133,9,124,93.2,90.2,0.61,1.09
602,2022-08-25,46,5,26,3,8,161,5,156,96.9,94.4,-0.33,0.41
603,2022-08-25,75,24,7,3,1,153,11,142,92.8,94.1,0.54,1.22
604,2022-08-25,10,21,6,4,0,117,10,107,91.5,95.7,0.03,0.83
605,2022-08-25,27,3,9,4,3,136,6,130,95.6,94.1,-0.78,0.78
606,2022-08-25,20,18,8,3,1,158,7,151,95.6,91.8,-0.88,1.8
607,2022-08-25,19,4,29,5,6,184,3,181,98.4,94.6,0.4,0.4
608,2022-08-25,48,11,17,6,3,154,11,143,92.9,89.6,1.17,1.73
609,2022-08-25,64,20,19,4,13,192,16,176,91.7,90.1,-0.72,3.34
610,2022-08-24,6,22,2,2,14,170,10,160,94.1,95.9,1.23,1.51
611,2022-08-24,72,10,25,6,1,146,12,134,91.8,91.1,-0.16,1.58
612,2022-08-24,14,8,28,4,16,174,9,165,94.8,93.7,0.29,1.03
613,2022-08-24,82,20,15,3,2,128,12,116,90.6,94.5,-0.68,1.48
614,2022-08-24,41,23,7,0,7,134,11,123,91.8,91,-0.39,2.13
615,2022-08-24,61,24,30,1,3,135,9,126,93.3,91.1,-0.46,1.06
616,2022-08-24,65,21,6,7,5,150,5,145,96.7,94,0.16,0.72
617,2022-08-24,47,3,9,3,5,164,7,157,95.7,93.3,-0.3,0.84
618,2022-08-24,43,27,13,4,3,170,2,168,98.8,97.6,0.01,0.23
619,2022-08-24,56,4,29,2,3,142,13,129,90.8,93.7,0.92,1.74
620,2022-08-24,49,5,26,7,1,134,9,125,93.3,92.5,-0.88,1.4
621,2022-08-24,22,12,1,5,3,140,13,127,90.7,89.3,-0.31,1.03
622,2022-08-24,88,11,17,5,3,146,7,139,95.2,94.5,-0.44,0.98
623,2022-08-24,3,14,16,12,6,158,10,148,93.7,94.9,0.23,1.77
624,2022-08-23,66,5,26,2,0,164,12,152,92.7,95.1,0.39,1.29
625,2022-08-23,85,5,26,3,13,176,4,172,97.7,97.2,-0.4,0.5
626,2022-08-23,1,21,6,7,6,147,7,140,95.2,94.6,-0.12,1.04
627,2022-08-23,13,22,2,1,6,118,10,108,91.5,94.9,0.51,0.89
628,2022-08-23,39,3,9,5,3,163,10,153,93.9,93.3,0.27,0.79
629,2022-08-23,7,19,18,4,2,167,11,156,93.4,94.6,0.24,1.7
630,2022-08-23,71,10,25,1,3,146,6,140,95.9,96.6,-0.09,0.51
631,2022-08-23,84,27,13,11,1,144,10,134,93.1,93.8,-0.02,1.08
632,2022-08-23,90,4,29,3,9,167,3,164,98.2,95.8,-0.36,0.58
633,2022-08-23,17,12,1,3,7,183,12,171,93.4,91.8,-0.37,1.31
634,2022-08-23,77,11,17,4,2,144,7,137,95.1,94.4,0.09,0.91
635,2022-08-23,11,8,28,7,6,132,10,122,92.4,90.9,-0.08,0.68
636,2022-08-23,86,23,7,1,3,178,13,165,92.7,93.3,-1.32,2.14
637,2022-08-23,51,20,15,3,5,130,9,121,93.1,91.5,-0.08,1
638,2022-08-23,73,24,30,4,2,135,14,121,89.6,91.9,0.82,1.46
639,2022-08-23,50,14,16,10,1,157,7,150,95.5,92.4,0.43,0.81
640,2022-08-22,79,12,9,6,4,195,10,185,94.9,94.4,0.42,2.68
641,2022-08-22,29,21,6,4,1,129,16,113,87.6,85.3,-1.19,2.13
642,2022-08-22,38,22,2,1,2,118,6,112,94.9,97.5,0.27,0.37
643,2022-08-22,54,19,18,4,2,120,8,112,93.3,96.7,0.53,0.91
644,2022-08-22,55,27,13,2,1,147,5,142,96.6,94.6,-0.17,0.81
645,2022-08-22,58,17,28,1,2,130,18,112,86.2,91.5,-0.08,2.48
646,2022-08-22,36,5,26,0,1,108,9,99,91.7,90.7,-0.54,1.12
647,2022-08-22,23,20,15,0,3,164,8,156,95.1,95.1,0.47,0.77
648,2022-08-22,81,14,16,0,4,153,8,145,94.8,92.8,0.06,1.64
649,2022-08-21,53,22,6,5,9,156,5,151,96.8,96.2,-0.1,0.54
650,2022-08-21,62,21,18,9,10,202,6,196,97,97,-0.74,0.92
651,2022-08-21,25,2,11,4,5,146,6,140,95.9,93.8,0.16,1.06
652,2022-08-21,8,19,29,4,2,148,9,139,93.9,96.6,0.01,0.55
653,2022-08-21,21,10,13,4,0,156,9,147,94.2,94.9,0.17,2.49
654,2022-08-21,10,27,12,3,2,131,7,124,94.7,93.9,0.14,0.98
655,2022-08-21,16,17,28,0,7,120,7,113,94.2,94.2,0.07,0.63
656,2022-08-21,20,5,16,2,5,157,9,148,94.3,91.7,0.16,1.28
657,2022-08-21,35,8,25,8,9,178,12,166,93.3,94.4,0.34,1.28
